case,RGIId,Name,Area,bt,hf,tau,feq,feq_linear,feq_gwi,feq_etcw,Zmin,Zmax,Zela,Lmax,aar,hyps_ela,hyps_aar
0.6,RGI60-01.16433,,1.41,-1.0280322862129145,74.61576137950857,72.58114592332461,0.2637845572439192,0.26922445580449433,0.0906695918085229,0.12956038930277705,1205,1629,1350.0,1645,,,
0.6,RGI60-01.16435,,1.496,-1.6094022687609075,56.158518234297645,34.89402203809155,0.5739647209377651,0.5795301254034081,0.27315823429956576,0.2853063851493693,1273,2006,1500.0,2135,,,
0.6,RGI60-01.16438,,7.245,-4.948734729493892,128.68707929443207,26.004036653545363,0.6789062539207562,0.6833557802771518,0.38098948319929765,0.3675066526513481,802,2294,1500.0,9756,,,
0.6,RGI60-01.16440,,8.196,-4.821116928446771,101.74805416258526,21.10466426612176,0.7389794319929033,0.7426391383294847,0.4640875586805228,0.43729295874945856,770,2231,1450.0,9224,,,
0.6,RGI60-01.16450,,1.673,-2.5169066317626525,50.78820099912082,20.17881806110248,0.7504017591609655,0.753905145434859,0.4821064265311539,0.45338851387583556,1245,1918,1600.0,2000,,,
0.6,RGI60-01.16453,,1.753,-1.9497164048865618,75.20129171196918,38.570374400857816,0.5332729064380775,0.539138519631421,0.2404253572437069,0.2608907390288693,1125,1857,1400.0,2593,,,
0.6,RGI60-01.16458,,1.112,-1.1698298429319371,57.12053599467628,48.828072167756844,0.43136673851001395,0.4375871151436365,0.1729922376487345,0.20794882851829846,1285,1826,1450.0,1850,,,
0.6,RGI60-01.16462,,7.926,-2.226221640488656,106.42966903653483,47.807310422682576,0.4406813153292492,0.44689441104304656,0.17846475003381068,0.21248856159161167,1286,1926,1600.0,5350,,,
0.6,RGI60-01.16463,,1.566,-0.41830279232111695,90.36154824139206,216.01947178020401,0.030833269841913813,0.03187356618248192,0.008680689512366307,0.016428405095452896,1491,1801,1550.0,1686,,,
0.6,RGI60-01.16467,,14.393,-4.353184991273997,77.04075441679612,17.697560423282052,0.7810596355206928,0.7841371776883985,0.534227999153183,0.5018984899746577,1736,3071,2350.0,5771,,,
0.6,RGI60-01.16468,,1.707,-1.1840095986038395,48.069114165753525,40.59858486150422,0.5117030167448285,0.5176928190434417,0.22459731401191346,0.24891033549564742,2333,2823,2500.0,1728,,,
0.6,RGI60-01.16469,,36.889,-4.331915357766143,197.41265853274842,45.57167955251762,0.461732259661329,0.4679099347964667,0.19128771297790978,0.22291268013907153,1689,3185,2300.0,14295,,,
0.6,RGI60-01.16471,,2.485,-1.2619982547993018,50.3183890604116,39.87199575677213,0.5193542521680936,0.5253026691473662,0.23010194664658692,0.25309672060862964,2272,2957,2450.0,2933,,,
0.6,RGI60-01.16481,,6.567,-3.594568062827225,76.85941019460518,21.38209900361524,0.7355593953258315,0.7392661567759794,0.4588378023342835,0.43266974484320003,1843,2864,2350.0,4885,,,
0.6,RGI60-01.16482,,2.312,-2.4530977312390925,73.9654499022157,30.151856145109537,0.629023889198049,0.6340574889701107,0.32479873186433295,0.3239003916452386,2154,2842,2500.0,3348,,,
0.6,RGI60-01.16484,,2.048,-2.3538394415357766,60.77243131626349,25.818426798308792,0.681164803255432,0.6855861557908396,0.38378579038182614,0.3697432343614915,2218,2965,2550.0,3165,,,
0.6,RGI60-01.16487,,1.288,-1.6661212914485166,38.34824526931665,23.01647873185565,0.715445664662157,0.719423299990778,0.42928011152221535,0.407192386978016,1965,2764,2200.0,1589,,,
0.6,RGI60-01.16491,,1.859,-3.9774214659685865,35.64930017182609,8.962917426993052,0.8891126545450017,0.8906722413009962,0.7548930343902162,0.7316561577963073,1839,2800,2400.0,1987,,,
0.6,RGI60-01.16494,,1.404,-1.6732111692844678,74.56474847100137,44.56386010313823,0.4715123567037135,0.4776639390080522,0.19747334544642361,0.22784595167711832,2164,2662,2400.0,2429,,,
0.6,RGI60-01.16496,,1.57,-3.282613438045375,61.068190600660536,18.603527875954672,0.769860134353628,0.773094078115424,0.5145495999834061,0.4832485695216741,2087,2845,2550.0,2010,,,
0.6,RGI60-01.16498,,1.7,-1.8220986038394416,51.1597798395706,28.07739368866706,0.6538156628520576,0.6585702456353434,0.3514522056981257,0.34429232751519884,1993,2532,2250.0,2403,,,
0.6,RGI60-01.16500,,2.105,-0.8791448516579407,54.179594546828454,61.62760828850165,0.33002965691867264,0.33599054810979256,0.12007549535819638,0.16022417550943038,2326,2792,2450.0,1708,,,
0.6,RGI60-01.16504,,1.166,-2.219131762652705,48.639596139560865,21.91830019206164,0.7289536955502386,0.732750330309769,0.44888442264737133,0.42398592456679285,2337,3075,2650.0,2307,,,
0.6,RGI60-01.16509,,7.096,-2.970658813263525,94.72374717012207,31.88644443016997,0.608594211593901,0.6138413181198572,0.3045163380953583,0.30864689271380014,1781,2781,2200.0,4786,,,
0.6,RGI60-01.16510,,1.674,-1.6235820244328099,41.306736713007716,25.441730748058767,0.6857539684759464,0.6901178982328547,0.389541089602468,0.37436918612134334,1971,2534,2200.0,2806,,,
0.6,RGI60-01.16511,,3.485,-2.2049520069808026,50.762672941286944,23.022121470478297,0.7153763403575017,0.7193549254140161,0.4291820564374768,0.40710941922297583,1939,2619,2250.0,3025,,,
0.6,RGI60-01.16514,,3.041,-2.850130890052356,66.09140732048917,23.188902499588394,0.7133277668864771,0.7173330202356262,0.42629555195671753,0.4046713242261704,1948,3009,2350.0,4035,,,
0.6,RGI60-01.16515,,2.318,-4.62969022687609,63.3129070440365,13.67540892401288,0.830810912152933,0.8331902260745266,0.6300370709931331,0.5978734644575159,1747,3048,2400.0,4298,,,
0.6,RGI60-01.16516,,26.489,-4.608420593368237,149.8019030707507,32.50612656455959,0.6013718524069792,0.6066894290915114,0.2976775329579034,0.30353965665564125,700,2327,1350.0,11501,,,
